#'s,numbers
1Sgt,first shirt
a/c,aircraft
admin,administrative
afld,airfield
aflds,airfields
annl,annual
appt,appointment
appts,appointments
asgmt,assignment
asgmts,assignments
assoc,association
asst,assistant
avail,available
avg,average
avg'd,averaged
avgs,averages
awd,award
awds,awards
bd,board
bds,boards
bldg,building
bldgs,buildings
blk,block
btwn,between
capes,capabilities
cert,certification
cert,certify
cert'd,certified
certs,certifications
Chf,chief
civ,civilian
cklst,checklist
cklsts,checklists
ckt,circuit
ckts,circuits
cls,classes
cmbt,combat
cmd,command
cmte,committee
cmtes,committees
comm,communication
conf,conference
const,construction
coord,coordinate
coord'd,coordinated
crit,critical
crs,course
crses,courses
ctr,center
ctrl,control
ctrs,centers
decr,decrease
def,defense
demo,demonstrate
demo'd,demonstrated
dept,department
depts,departments
det,detachment
Dir,director
div,division
doc,documents
dorm,dormitory
dorms,dormitoryies
dply,deploy
dplyd,deployed
dplymt,deployment
dplymts,deployments
educ,education
elim,eliminate
e-mail,electronic mail
emer,emergency
engr,engineer
engrs,engineers
enl,enlisted
eqpmt,equipment
est,establish
estd,established
eval,evaluation
evals,evaluations
exer,exercise
exs,exercises
fed,federal
flt,flight
flts,flights
fwd,forward
gen,generation
gen,generate
gen'd,generated
govt,government
gp,group
gps,groups
grad,graduate
grnd,ground
helo,helicopter
hi-vis,high-visibility
hosp,hospital
id,identify
ID,identification
id'd,identified
incr,increase
indoc,indoctrination
info,information
insp,inspection
insps,inspections
inst,instruct
intel,intelligence
int'l,international
jnt,joint
ld,lead
ldr,leader
ldrs,leaders
ldrshp,leadership
log,logistics
lrg,large
lrgst,largest
lvl,level
max,maximum
mbr,member
mbrs,members
med,medicine
med,medical
medevac,medical evacuation
mgmt,management
mgr,manager
mil,military
min,minimal
mng,manage
mngd,managed
mngrs,managers
mngs,manages
mo,month
mod,modifications
mos,months
msg,messages
msn,mission
msns,missions
mtg,meeting
mtgs,meetings
Muns,munitions
mx,maintenance
nat'l,national
netop,network operation
netops,network operations
nom,nomination
nom,nominee
noms,nominees
ntwk,network
ntwks,networks
ofc,office
ofcr,officer
ofcrs,officers
op,operation
ops,operations
org,organization
org'd,organized
orgs,organizations
pax,passenger
pgm,program
pgms,programs
pkg,package
pkgs,packages
prep,prepare
prep'd,prepared
pres,president
prod,production
proj,project
projo,project officer
projs,projects
psnl,personnel
pt,patient
pts,patients
pub,publication
pubs,publications
qtr,quarter
qtrly,quarterly
qtrs,quarters
qual,qualify
rcv,received
rdy,ready
recert,recertification
recerts,recertifications
redux,reduction
ref,reference
refs,references
relat's,relationship
rep,representative
reps,representatives
req,requisition
reqs,requisitions
rpt,report
rpts,reports
rqmt,requirement
rqmts,requirements
rt,rate
rwy,runway
rwys,runways
sched,schedule
scheds,schedules
sel,select
Sgt,sergeant
sim,simulation
sims,simulations
spec,specification
specs,specifications
spt,support
spt'd,supported
sq,squadron
sqs,squadrons
sr,senior
stan,standardization
std,standard
stds,standards
supt,superintendent
svc,service
svs,services
sys,system
syss,systems
Tac,tactical
trng,training
univ,university
vis,visibility
vol,volunteer
vols,volunteers
vs,versus
w/in,within
w/o,without
wg,wing
wgs,wings
wk,week
wks,weeks
wpn,weapon
wpns,weapons
wx,weather
yr,year
yrly,yearly
yrs,years
